City,Cloudiness (%),Country,Date,Humidity (%),Temperature (F),Latitude (Deg),Longitude (Deg),Wind Speed (mph)
stromness,90,CA,09/01/2019,93,66.99,42.87,-79.55,8.05
urubicha,8,BO,09/01/2019,41,80.71,-15.63,-63.08,5.93
matara,0,BI,09/01/2019,64,54.61,-3.48,29.48,0.78
codrington,0,AU,09/01/2019,68,64.99,-28.95,153.24,6.93
butterworth,75,MY,09/01/2019,88,80.6,5.4,100.37,2.24
thompson,75,CA,09/01/2019,43,50.0,55.74,-97.86,11.41
port macquarie,0,AU,09/01/2019,67,68.0,-31.43,152.91,3.36
saskylakh,98,RU,09/01/2019,80,39.13,71.97,114.09,12.95
mount gambier,40,AU,09/01/2019,100,44.6,-37.83,140.78,14.99
ilebo,83,CD,09/01/2019,86,72.79,-4.33,20.59,1.14
rawson,74,AR,09/01/2019,42,43.81,-43.3,-65.11,22.19
tayoltita,97,MX,09/01/2019,96,68.11,24.11,-105.93,3.36
richmond,20,CA,09/01/2019,64,75.99,49.16,-123.14,10.29
grand gaube,20,MU,09/01/2019,88,70.0,-20.01,57.66,8.05
touros,40,BR,09/01/2019,88,77.0,-5.2,-35.46,6.93
bo phloi,100,TH,09/01/2019,87,76.03,14.32,99.52,2.46
bose,0,IT,09/01/2019,88,75.0,45.46,8.01,1.12
yarada,100,IN,09/01/2019,92,76.75,17.65,83.27,17.09
nome,1,US,09/01/2019,46,93.99,30.04,-94.42,8.05
amapa,75,HN,09/01/2019,59,89.6,15.09,-87.97,18.34
puerto el triunfo,20,SV,09/01/2019,66,89.6,13.27,-88.55,3.36
deloraine,75,AU,09/01/2019,81,48.2,-41.53,146.66,5.82
salym,88,RU,09/01/2019,97,47.95,60.06,71.48,8.59
mizdah,31,LY,09/01/2019,63,70.45,31.45,12.98,3.13
krasnokamensk,48,RU,09/01/2019,67,59.11,50.1,118.04,4.85
acapulco,75,MX,09/01/2019,66,89.6,16.86,-99.88,5.82
iwanai,61,JP,09/01/2019,62,70.27,42.97,140.51,7.78
ossora,6,RU,09/01/2019,57,53.35,59.24,163.07,13.82
bonthe,81,SL,09/01/2019,91,75.85,7.53,-12.5,5.91
ucluelet,90,CA,09/01/2019,93,64.99,48.94,-125.55,10.29
kangaatsiaq,77,GL,09/01/2019,60,44.53,68.31,-53.46,15.46
tirumullaivasal,100,IN,09/01/2019,71,79.27,11.24,79.84,7.45
gamba,100,CN,09/01/2019,80,38.95,28.28,88.52,2.37
skibbereen,40,IE,09/01/2019,87,53.6,51.55,-9.27,6.93
linqing,22,CN,09/01/2019,71,74.05,36.85,115.71,4.05
honningsvag,69,NO,09/01/2019,84,56.05,70.98,25.97,25.39
okrika,100,NG,09/01/2019,95,72.97,5.52,7.78,3.56
capitao poco,49,BR,09/01/2019,89,74.95,-1.75,-47.06,5.32
pontiac,90,US,09/01/2019,72,68.0,42.64,-83.29,5.35
port hawkesbury,1,CA,09/01/2019,76,60.01,45.62,-61.36,2.24
mana,83,NG,09/01/2019,69,82.51,13.03,5.27,8.39
san cristobal,65,HN,09/01/2019,60,77.47,14.68,-86.92,1.57
mlonggo,20,ID,09/01/2019,73,75.2,-6.53,110.7,2.24
pulandian,0,CN,09/01/2019,64,80.01,39.4,121.96,8.95
san juan,0,AR,09/01/2019,35,43.27,-31.54,-68.53,3.2
samarinda,100,ID,09/01/2019,81,78.01,-0.5,117.14,4.32
alofi,99,NU,09/01/2019,60,75.2,-19.06,-169.92,21.92
mandan,75,US,09/01/2019,73,79.0,46.83,-100.89,13.89
san rafael,0,AR,09/01/2019,27,48.31,-34.61,-68.33,4.36
henties bay,0,NA,09/01/2019,96,51.01,-22.12,14.28,5.99
los llanos de aridane,75,ES,09/01/2019,73,71.6,28.66,-17.92,12.75
kulhudhuffushi,100,MV,09/01/2019,79,81.61,6.62,73.07,11.27
sao jose da coroa grande,42,BR,09/01/2019,97,70.09,-8.9,-35.15,3.78
coolum beach,0,AU,09/01/2019,67,68.0,-26.53,153.09,2.3
kavieng,99,PG,09/01/2019,78,79.63,-2.57,150.8,3.6
gizo,40,IL,09/01/2019,78,80.6,31.8,34.94,3.36
belonia,93,IN,09/01/2019,92,79.27,23.25,91.45,4.76
moroto,13,UG,09/01/2019,84,68.83,2.53,34.66,1.32
sur,99,OM,09/01/2019,55,80.71,22.57,59.53,5.73
poso,25,ID,09/01/2019,84,67.39,-1.4,120.75,4.18
beloha,5,MG,09/01/2019,97,63.79,-25.17,45.06,4.09
shelby,1,US,09/01/2019,34,82.99,48.51,-111.86,9.17
ekhabi,100,RU,09/01/2019,93,55.15,53.51,142.97,14.0
rio grande,14,BR,09/01/2019,92,46.99,-32.03,-52.1,4.76
progreso,0,UY,09/01/2019,61,51.01,-34.68,-56.22,12.55
te anau,100,NZ,09/01/2019,73,47.41,-45.41,167.72,5.3
sikeston,1,US,09/01/2019,58,87.8,36.88,-89.59,6.93
willowmore,3,ZA,09/01/2019,96,43.81,-33.3,23.49,2.77
maniitsoq,100,GL,09/01/2019,94,44.71,65.42,-52.9,22.68
scarborough,0,GB,09/01/2019,87,55.4,54.28,-0.41,5.82
buala,11,SB,09/01/2019,76,83.59,-8.15,159.59,10.47
port blair,96,IN,09/01/2019,82,82.15,11.67,92.75,21.3
porosozero,7,RU,09/01/2019,93,54.25,62.72,32.71,3.09
nicolas bravo,90,MX,09/01/2019,52,72.0,24.39,-104.74,10.29
vila velha,40,BR,09/01/2019,74,80.6,-3.71,-38.6,6.93
nouadhibou,0,MR,09/01/2019,85,71.53,20.93,-17.03,8.57
turukhansk,95,RU,09/01/2019,85,51.01,65.8,87.96,2.19
broome,0,GB,09/01/2019,81,54.0,52.47,1.45,6.93
hamilton,90,CA,09/01/2019,100,64.99,43.26,-79.87,3.36
rosh pinna,0,IL,09/01/2019,90,78.01,32.97,35.54,2.75
bilibino,41,RU,09/01/2019,57,37.33,68.06,166.44,2.95
eureka,1,US,09/01/2019,72,71.6,40.8,-124.16,14.99
isangel,75,VU,09/01/2019,69,82.4,-19.55,169.27,9.17
bageshwar,55,IN,09/01/2019,87,61.45,29.85,79.77,2.86
palora,40,EC,09/01/2019,64,73.4,-1.7,-77.97,4.7
vardo,75,US,09/01/2019,69,77.0,39.62,-77.74,3.36
pangkalanbuun,62,ID,09/01/2019,92,75.49,-2.68,111.62,2.66
matagami,99,NG,09/01/2019,99,68.11,9.67,8.4,4.63
galle,100,GN,09/01/2019,98,68.47,10.08,-12.83,0.49
soyo,76,AO,09/01/2019,87,71.35,-6.13,12.37,9.89
lumeje,56,AO,09/01/2019,78,64.69,-11.56,20.78,5.64
gornopravdinsk,89,RU,09/01/2019,97,48.13,60.06,69.92,9.19
harper,1,US,09/01/2019,46,93.2,30.3,-99.24,10.31
banikoara,67,BJ,09/01/2019,93,74.77,11.3,2.44,4.56
barbacoas,91,CO,09/01/2019,92,73.15,1.67,-78.14,2.66
walvis bay,0,NA,09/01/2019,96,51.01,-22.95,14.51,5.99
brindisi,0,IT,09/01/2019,78,79.0,40.63,17.94,3.36
kapuskasing,90,CA,09/01/2019,55,62.6,49.42,-82.43,9.17
bathsheba,40,BB,09/01/2019,78,82.4,13.22,-59.52,12.75
roald,85,NO,09/01/2019,76,50.0,62.58,6.12,12.75
smithers,40,CA,09/01/2019,43,69.8,54.78,-127.17,3.36
ornskoldsvik,100,SE,09/01/2019,100,62.6,63.29,18.72,9.17
yeppoon,0,AU,09/01/2019,68,66.2,-23.13,150.74,4.43
quelimane,75,MZ,09/01/2019,88,71.6,-17.88,36.89,5.82
araouane,91,ML,09/01/2019,23,97.99,18.9,-3.53,11.14
kiunga,97,PG,09/01/2019,75,76.39,-6.12,141.3,5.01
tual,0,ID,09/01/2019,78,76.39,-5.67,132.75,22.62
kharan,1,PK,09/01/2019,16,78.01,28.58,65.42,3.71
palembang,31,ID,09/01/2019,88,74.95,-2.99,104.76,4.23
sao lourenco do sul,1,BR,09/01/2019,92,46.99,-31.37,-51.98,7.2
nioro,96,GM,09/01/2019,94,75.49,13.79,-15.05,3.65
tazovskiy,100,RU,09/01/2019,81,44.71,67.47,78.7,14.16
semporna,75,MY,09/01/2019,94,75.2,4.48,118.61,3.36
kirakira,0,SB,09/01/2019,71,82.69,-10.46,161.92,6.22
ambulu,79,ID,09/01/2019,89,70.27,-8.35,113.61,4.47
washington,90,US,09/01/2019,57,80.01,38.9,-77.04,3.36
ust-tsilma,27,RU,09/01/2019,96,39.13,65.44,52.15,0.85
tezpur,69,IN,09/01/2019,82,82.51,26.62,92.79,3.74
soc trang,40,VN,09/01/2019,100,78.8,9.6,105.98,4.7
batagay,74,RU,09/01/2019,45,55.33,67.65,134.64,0.13
laguna,40,BZ,09/01/2019,55,91.4,16.17,-88.94,4.7
vilyuysk,83,RU,09/01/2019,73,58.75,63.75,121.63,2.42
kieta,25,PG,09/01/2019,67,84.31,-6.22,155.63,3.36
wageningen,90,NL,09/01/2019,87,57.0,51.98,5.66,3.36
bundaberg,0,AU,09/01/2019,64,68.0,-24.87,152.35,3.36
yuci,0,CN,09/01/2019,87,55.4,37.68,112.73,2.24
ambon,0,FR,09/01/2019,87,57.0,47.55,-2.56,8.05
hirara,20,JP,09/01/2019,88,84.2,24.8,125.28,5.82
kitgum,0,UG,09/01/2019,91,65.05,3.3,32.88,1.95
lancaster,1,US,09/01/2019,69,77.0,40.04,-76.31,4.7
fairbanks,1,US,09/01/2019,42,69.8,64.84,-147.72,8.05
phuket,20,TH,09/01/2019,88,75.2,7.89,98.4,11.07
shahr-e babak,0,IR,09/01/2019,23,69.19,30.12,55.12,9.8
russell,20,US,09/01/2019,62,84.2,38.9,-98.86,16.11
kudahuvadhoo,71,MV,09/01/2019,76,82.87,2.67,72.89,8.93
namibe,56,AO,09/01/2019,86,64.69,-15.19,12.15,9.06
sistranda,75,NO,09/01/2019,76,53.01,63.73,8.83,18.34
tirau,100,NZ,09/01/2019,70,61.0,-37.98,175.76,3.0
samarai,61,PG,09/01/2019,70,76.03,-10.62,150.67,10.27
kungurtug,91,RU,09/01/2019,78,50.47,50.6,97.53,2.62
hammerfest,89,NO,09/01/2019,77,64.4,70.66,23.68,32.21
victor harbor,0,AU,09/01/2019,51,66.99,-35.55,138.62,20.8
mondlo,0,ZA,09/01/2019,70,43.81,-27.96,30.72,2.95
calbuco,40,CL,09/01/2019,81,42.8,-41.77,-73.13,6.93
ca mau,100,VN,09/01/2019,87,78.55,9.18,105.15,6.73
great falls,1,US,09/01/2019,32,86.0,47.5,-111.29,12.75
sakaraha,0,MG,09/01/2019,43,63.25,-22.91,44.53,2.24
uglegorsk,73,RU,09/01/2019,83,63.07,49.08,142.06,10.47
xai-xai,0,MZ,09/01/2019,93,58.21,-25.04,33.64,1.88
casimiro de abreu,0,BR,09/01/2019,78,75.2,-22.48,-42.2,6.93
tamiahua,49,MX,09/01/2019,75,84.13,21.28,-97.45,9.84
otradnoye,0,RU,09/01/2019,82,59.0,59.77,30.8,4.47
kamaishi,75,JP,09/01/2019,88,68.0,39.28,141.86,2.24
sheltozero,34,RU,09/01/2019,91,58.03,61.37,35.37,1.88
gasa,100,BT,09/01/2019,92,38.41,27.91,89.73,2.08
ojinaga,1,US,09/01/2019,29,91.4,29.56,-104.41,11.41
shimoda,40,JP,09/01/2019,79,86.0,34.7,138.93,13.87
iqaluit,90,CA,09/01/2019,93,41.0,63.75,-68.52,14.99
bousse,0,FR,09/01/2019,71,59.0,49.28,6.2,8.05
camacha,20,PT,09/01/2019,68,71.6,33.08,-16.33,9.17
mega,69,ET,09/01/2019,51,75.85,4.06,38.32,15.75
hampton,40,US,09/01/2019,94,80.6,32.88,-81.13,3.74
mamonovo,0,RU,09/01/2019,77,66.2,54.46,19.94,4.47
tafo,100,GH,09/01/2019,99,70.81,6.73,-1.61,4.27
el juncal,0,AR,09/01/2019,33,45.97,-40.81,-63.12,11.03
kijang,90,KR,09/01/2019,88,71.6,35.24,129.21,6.93
birao,22,CF,09/01/2019,91,72.79,10.3,22.78,3.51
campbell river,75,CA,09/01/2019,68,70.0,50.02,-125.24,3.42
umm kaddadah,70,SD,09/01/2019,57,84.49,13.6,26.69,13.73
leh,0,IN,09/01/2019,52,44.17,34.16,77.58,4.52
arman,61,RU,09/01/2019,70,53.89,59.7,150.17,3.18
conceicao do araguaia,37,BR,09/01/2019,27,81.43,-8.26,-49.26,1.57
ponta delgada,40,PT,09/01/2019,72,71.01,37.73,-25.67,6.93
baherden,0,TM,09/01/2019,36,60.55,38.44,57.43,3.31
el dorado,20,TT,09/01/2019,78,82.99,10.65,-61.37,4.7
